Year,Mo,Dy,Hr,Mn,Sec,Country,Location Name,Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Damage ($Mil),,,,,
2012,3,14,9,8,35.1,JAPAN,HOKKAIDO,6.9,,,,,,,,,,,,
2012,12,7,8,18,23.1,JAPAN,MIYAGI PREFECTURE,7.2,,,11,,,,,,,,,
2013,4,12,20,33,17.5,JAPAN,MIYAKEJIMA,5.8,,,24,,,,,,,,,
2013,4,17,8,57,33.9,JAPAN,MIYAKEJIMA,5.8,,,3,,,,,,,,,
2013,10,25,17,10,19.7,JAPAN,HONSHU,7.1,,,1,,,,,,,,,
2014,3,13,17,6,50.8,JAPAN,HONSHU ISLAND,6.3,,,18,,,,,,,,,
2014,7,11,19,22,0.8,JAPAN,SANRIKU,6.5,,,,,,,,,,,,
2014,11,22,13,8,18.4,JAPAN,NAGANO,6.2,,,46,2,213,1624,2,,,,,
2015,2,16,23,6,28.3,JAPAN,HONSHU,6.7,,,,,,,,,,,,
2015,5,2,16,50,43,JAPAN,HONSHU,5.7,,,,,,,,,,,,
2015,5,30,11,23,2.1,JAPAN,CHICHIJIMA ISLAND,7.8,,,12,,,,,,,,,
2015,11,13,20,51,31,JAPAN,KYUSYU ISLAND,6.7,,,,,,,,,,,,
2016,4,15,16,25,6.2,JAPAN,KUMAMOTO,7,273,,2809,20000,43386,163500,20000,,,,,
2016,8,20,9,1,26.2,JAPAN,HONSHU,6,,,,,,,,,,,,
2016,10,21,5,7,23,JAPAN,KURAYOSHI,6.2,,,7,100,2,160,100,,,,,
2016,11,21,20,59,49.3,JAPAN,HONSHU,6.9,,,15,,,,,,,,,
2018,4,8,16,32,31.5,JAPAN,SHIMANE PREFECTURE,5.7,,,8,,,429,,,,,,
2018,5,6,6,3,59.3,JAPAN,HONSHU,5.4,,,,,,,,,,,,
2018,6,17,22,58,34.8,JAPAN,OSAKA,5.5,5,,417,7000,,6766,7000,,,,,
2018,9,5,18,7,59.2,JAPAN,HOKKAIDO,6.6,44,,660,2000,,15000,2000,,,,,
2019,6,18,13,22,19,JAPAN,NIIGATA PREFECTURE,6.4,,,28,,,144,,,,,,
2021,2,13,14,7,50,JAPAN,FUKUSHIMA,7.1,1,,186,7700,798,19758,7700,,,,,
2021,3,20,9,9,43,JAPAN,HONSHU ISLAND,7,,,11,550,,,550,,,,,
2022,3,16,14,36,33,JAPAN,FUKUSHIMA,7.3,4,,247,8800,217,56718,8800,,,,,
2023,5,5,5,42,4,JAPAN,HONSHU,6.2,1,,34,,3,351,,,,,,
2023,10,5,1,59,58,JAPAN,IZU ISLANDS,6.1,,,,,,,,,,,,
2023,10,8,20,25,23,JAPAN,IZU ISLANDS,4.9,,,,,,,,,,,,
2024,1,1,7,10,9,JAPAN,ISHIKAWA PREFECTURE,7.5,245,3,1313,17600,28998,94558,17600,,,,,
